answers,date,tags,title,user,votes
18,2011-08-23T22:22:00,"Genesis,Creation,Evolution",Can I believe in evolution and still be a Christian?,aceinthehole,86
13,2011-08-23T19:44:00,"History,Terminology,Wine,Alcohol,Biblical Languages",When the Bible talks about wine does it mean alcoholic wine?,Patrick,87
4,2011-08-24T18:29:00,"Biblical Basis,Sexuality,Morality,Homosexuality",Why do some Christians believe it is moral to be a homosexual?,Patrick,92
13,2011-08-30T21:21:00,"Heaven,Free Will",Can there be free will in heaven?,Mad Scientist,93
18,2011-09-02T20:03:00,"Soteriology,Old Testament",How were people saved prior to 33 AD?,Caleb,99
7,2011-11-11T19:04:00,"Biblical Basis,Abortion",What is the biblical basis for the claim that abortion is immoral?,Narnian,122
12,2011-08-23T20:52:00,"Biblical Basis,Nature Of God,Trinity",What is the Biblical basis for the doctrine of the Trinity?,warren,129
6,2011-08-23T22:18:00,"History,Marriage,Polygamy",The Bible seems to allow polygamy. Why doesn't the church?,Richard,60
7,2011-08-23T19:27:00,"Catholicism,Prayer,Trinity,Virgin Mary,Intercession Of Saints",Praying to people outside the Trinity?,8128,65
12,2011-08-23T18:45:00,"Church History,Religious Practice,Judaism,Sabbath",Why does Judaism celebrate Sabbath on Saturday and most Christians celebrate Sabbath on Sunday?,aceinthehole,67
12,2011-09-07T22:46:00,"Life Of Jesus,Crucifixion,Atonement",How is Christ's death so significant?,Marc Gravell,69
5,2011-09-13T21:08:00,"Catholicism,Conversion,Cs Lewis",Why didn't C.S. Lewis convert to Catholicism?,Peter Turner,69
14,2011-11-04T16:46:00,"Life Of Jesus,Christology,Gospels,Names Of God,Words Of Jesus","Does Jesus ever claim to be God, or the son of God?",,69
10,2011-09-02T10:03:00,"Faith,Soteriology,Evangelism,Missions",What happens to people who have never heard about Jesus?,Caleb,72
8,2013-05-31T13:11:00,"Bible Translation,Copyright",What major translations of the Bible are in the Public Domain?,Affable Geek,84
14,2011-08-31T12:28:00,"Adam And Eve,Fall Of Man","If Adam and Eve were perfect, why did they choose to sin?",Richard,50
7,2011-08-29T01:51:00,"Ten Commandments,Names Of God","Is saying ""Oh My God"" really using God's name in vain?",,50
9,2011-09-13T18:33:00,"Faith,Origin,Philosophy","Where does the concept of a ""God-shaped hole"" originate?",Richard,51
21,2011-08-24T12:54:00,"Sin,Apologetics,Good And Evil,Suffering,Theodicy","How to answer ""Why do evil and suffering exist?""",Steve Moser,51
9,2012-05-30T17:19:00,Lds,"Is ""Mormon"" a disrespectful term?",Affable Geek,51
8,2012-08-19T15:42:00,"History,Baptism,Judaism,Jewish Culture",Was baptism practiced before Christ?,Caleb,52
6,2011-08-23T22:01:00,"Biblical Basis,Women,1 Timothy,Female Clergy,Pastor",What is the biblical justification for permitting female pastors?,Richard,53
15,2011-08-25T01:57:00,"Apologetics,Atheism",Atheism is the default position. Isn't the burden of proof on the Christian to assert that God exists?,aceinthehole,53
6,2011-08-25T08:33:00,"Life Of Jesus,Biblical Basis,Hell,Apostles Creed,Place Of The Dead",What is the Biblical basis for the concept that Jesus spent time in Hell?,Flimzy,53
4,2011-09-05T15:13:00,"Exegesis,Paul Apostle,Women,1 Corinthians",Why don't many churches obey Paul's command that women must be silent in church?,Jonathan.,54
10,2011-08-31T09:08:00,"Biblical Basis,Nature Of God,Angels,Demons,Monotheism",Why is Christianity considered a monotheistic religion?,Andrew Vit,55
9,2011-09-16T20:25:00,"Creation,Science,Young Earth Creation","How do young earth creationists reconcile the age of the universe with the speed of light, and visible distant objects?",aceinthehole,55
3,2011-08-23T20:12:00,"Biblical Basis,Sin,Sexuality,Masturbation",What is the biblical basis to claim that masturbation is a sin?,capitalaudience.com,56
6,2011-08-29T12:53:00,"Biblical Basis,Nature Of God,Islam,Comparative Religion",What is the basis for saying Christians and Muslims worship the same God?,Richard,57
7,2011-08-30T21:52:00,"Heaven,Suicide",Will suicide keep me out of Heaven?,,59
13,2011-08-23T18:30:00,"Sola Scriptura,Protestantism","What is the basis of my fractured understanding of  ""Sola Scriptura""?",Peter Turner,49
10,2011-08-25T03:14:00,"Christology,Terminology,Christian Living,Spirituality,Relationships","What do Christians mean by a ""personal relationship"" with Jesus?",Jon Schneider,42
19,2011-09-23T14:38:00,"Biblical Basis,Nature Of God",Does God have a sense of humor? Does he laugh?,Richard,43
13,2011-10-09T19:05:00,Comparative Religion,What is unique about Christianity?,Flimzy,43
5,2011-08-23T20:14:00,"Ten Commandments,War,Killing",If the Ten Commandments say “thou shalt not kill” how can a Christian fight in a war?,compman,44
10,2011-08-24T06:37:00,"Chronology,Easter,Resurrection Of Jesus,Tomb Of Jesus,Good Friday",How long was Jesus in the tomb?,Joel,45
5,2011-08-23T19:26:00,"Church History,New Testament,Canon",How were the books of the New Testament chosen?,Derek Downey,45
12,2011-09-13T13:38:00,"Nature Of God,Trinity,Christology,Hypostatic Union,Omniscience",How can the Son not know what the Father knows?,El'endia Starman,46
8,2011-08-24T15:11:00,"Biblical Basis,Soteriology,Baptism",Biblical basis for baptism as a prerequisite for salvation,warren,46
12,2011-08-26T05:00:00,"Exegesis,Genesis,Creation,Word Study","What is an overview of the main interpretations of ""day"" in Genesis 1?",El'endia Starman,46
6,2011-08-30T14:51:00,"Gospels,Terminology","Why are Matthew, Mark, and Luke called the synoptic gospels?",Bruce Alderman,48
8,2011-08-31T06:29:00,"Genesis,Apologetics,Flood Of Noah,Ark Of Noah",How did all the animals fit into Noah's ark?,Mad Scientist,49
5,2011-09-01T02:35:00,Lifestyle,The Tyranny of the Weaker Brother,mxyzplk,49
7,2011-08-24T22:36:00,"Christology,Apologetics,Islam",How is the Christian Jesus different from the Muslim Jesus?,demongolem,49
6,2011-11-07T13:10:00,"Catholicism,Church History,Priests,Clergy,Celibacy",When did the prohibition of marriage for priests in the Catholic church originate?,Narnian,49
12,2011-08-26T07:38:00,"Catholicism,Protestantism,Communion","As a protestant, may I participate in the Eucharist (Communion) when visiting a Catholic church?",Flimzy,37
6,2012-07-19T05:48:00,"Canon,Jude,Book Of Enoch",Why is the Book of Enoch not regarded as canonical?,Jomet,37
3,2011-11-17T14:54:00,"Life Of Jesus,History,Historical Jesus,Extra Biblical",What extrabiblical sources support the existence of Jesus in history?,Narnian,37
2,2011-09-10T02:12:00,"Exegesis,Gospel Of John,Words Of Jesus,Deception",How is Jesus not lying in John 7?,Jeff,38
7,2011-08-25T01:04:00,"Life Of Jesus,Old Testament,Mosaic Law,Law And Gospel,Torah",To what extent does the Law of Moses still apply?,beatgammit,38
