active_days,bronze,gold,last_seen,member_since,profile_views,reputation,silver,username
3546,197,7,2025-10-01 05:15:00,2016-01-16 00:00:00,6591,82562,64,Ken Graham
5087,216,22,2025-07-27 03:58:00,2011-08-23 00:00:00,5909,22368,110,Flimzy
4738,225,30,2024-08-12 15:51:00,2011-08-23 00:00:00,4243,24546,118,Richard
2135,79,2,2025-10-01 13:02:00,2019-11-27 00:00:00,2036,24585,23,Mike Borden
4198,128,5,2025-10-01 13:05:00,2014-04-04 00:00:00,1903,27057,42,GratefulDisciple
2927,77,3,2025-10-01 03:38:00,2017-09-26 00:00:00,4387,28992,31,Nigel J
5152,151,5,2025-09-30 20:55:00,2011-08-23 00:00:00,4529,32360,83,Mason Wheeler
5151,133,5,2025-10-01 03:35:00,2011-08-25 00:00:00,4853,33493,66,DJClayworth
5152,318,25,2025-09-30 17:35:00,2011-08-23 00:00:00,6839,34484,132,Peter Turner
4861,182,27,2025-09-30 04:42:00,2012-06-09 00:00:00,2748,34590,95,Mike
2586,150,10,2025-03-22 15:33:00,2018-02-21 00:00:00,2570,34794,62,Lesley
5152,298,26,2025-09-30 22:11:00,2011-08-23 00:00:00,8752,37615,157,Caleb
4850,134,4,2025-10-01 03:33:00,2012-06-21 00:00:00,4159,42596,54,Geremia
2165,337,14,2021-05-07 18:42:00,2015-06-03 00:00:00,6779,42978,144,Nathaniel is protesting
2776,160,3,2025-09-30 13:31:00,2018-02-23 00:00:00,2510,43824,46,Anne
4845,238,9,2024-12-27 22:13:00,2011-09-22 00:00:00,7851,44297,134,David Stratton
5131,110,5,2025-09-09 17:18:00,2011-08-23 00:00:00,1901,12782,50,warren
1589,112,12,2016-08-22 16:16:00,2012-04-16 00:00:00,2969,13303,62,Jas 3.1
2616,99,20,2020-11-20 15:23:00,2013-09-22 00:00:00,2703,13343,67,BYE
1708,53,1,2025-09-28 23:39:00,2021-01-24 00:00:00,1561,13385,16,Hold To The Rod
4174,66,,2025-09-30 08:03:00,2014-04-27 00:00:00,1133,13399,46,AthanasiusOfAlex
4445,110,11,2023-10-24 04:27:00,2011-08-23 00:00:00,1973,13547,62,capitalaudience.com
3779,128,8,2025-10-01 13:12:00,2015-05-28 00:00:00,1813,13734,64,Kadalikatt Joseph Sibichan
4959,77,1,2025-09-30 13:07:00,2012-03-03 00:00:00,2490,14279,46,Andrew Leach
2048,45,1,2018-10-14 06:33:00,2013-03-06 00:00:00,3360,14830,28,Dick Harfield
3821,36,,2025-10-01 13:10:00,2015-04-16 00:00:00,922,15054,24,Paul Chernoch
4286,135,7,2025-09-24 19:18:00,2013-12-30 00:00:00,3242,15685,83,Mr. Bultitude
2656,142,32,2020-05-13 10:59:00,2013-02-03 00:00:00,2882,16208,83,Mawia
3070,54,1,2025-09-29 18:17:00,2017-05-04 00:00:00,1366,16554,14,SLM
3956,159,20,2022-06-22 22:23:00,2011-08-23 00:00:00,1645,17077,94,StackExchange saddens dancek
4045,154,26,2022-09-19 20:12:00,2011-08-23 00:00:00,3911,17875,91,Reinstate Monica - Goodbye SE
4073,85,3,2025-07-31 07:05:00,2014-06-06 00:00:00,2300,18660,55,Matt Gutting
1819,102,5,2019-10-11 21:50:00,2014-10-18 00:00:00,712,6467,43,Thunderforge
5139,45,2,2025-09-17 06:32:00,2011-08-23 00:00:00,5252,6479,29,Marc Gravell
80,87,10,2013-05-04 23:23:00,2013-02-13 00:00:00,1150,6506,46,Alypius
4412,67,4,2025-08-28 16:15:00,2013-07-30 00:00:00,820,6607,38,Matthew Co
1070,66,7,2015-07-21 08:14:00,2012-08-15 00:00:00,2509,6649,43,Seek forgiveness
3603,43,6,2025-09-15 14:08:00,2015-11-04 00:00:00,2476,6788,31,KorvinStarmast
2983,105,8,2021-08-17 02:34:00,2013-06-17 00:00:00,2696,6893,55,Double U
1328,61,2,2024-09-19 22:17:00,2021-01-30 00:00:00,1313,6984,21,Only True God
3387,77,6,2020-11-30 03:46:00,2011-08-23 00:00:00,2218,7075,44,wax eagle
